# Genetic map for GigaMUGA chromosome 10
# nrow 5449
# ncol 3
marker,chr,pos
JAX00282036,10,0.81
JAX00282035,10,0.811
UNCHS027451,10,0.821
JAX00014621,10,0.85
ICR4263,10,0.855
ICR4262,10,0.868
UNCHS027448,10,0.873
UNCHS027447,10,0.874
UNCHS027446,10,0.875
UNCHS027445,10,0.876
UNCHS027444,10,0.881
UNCHS027442,10,0.907
UNCHS027441,10,0.908
ICR4259,10,0.942
ICR259,10,0.945
CEAJAX00281949,10,0.965
JAX00281946,10,0.967
CEAJAX00281945,10,0.967
JAX00281945,10,0.967
ICR258,10,0.969
UNCHS027440,10,0.975
UNCHS027439,10,0.976
UNCHS027438,10,0.989
UNCHS027437,10,0.99
JAX00281902,10,1.032
UNCHS027436,10,1.034
UNCHS027435,10,1.035
UNCHS027434,10,1.038
ICR254,10,1.08
JAX00281864,10,1.099
UNCHS027432,10,1.1
UNCHS027431,10,1.101
ICR253,10,1.103
UNCHS027429,10,1.125
UNCHS027428,10,1.155
ICR250,10,1.171
JAX00281798,10,1.182
JAX00281796,10,1.187
UNCHS027426,10,1.2
UNCHS027425,10,1.201
UNCHS027424,10,1.205
UNCHS027423,10,1.205
JAX00014506,10,1.24
JAX00281762,10,1.244
UNCHS027422,10,1.258
UNCHS027421,10,1.259
UNCHS027419,10,1.283
UNCHS027418,10,1.284
UNCHS027417,10,1.285
UNCHS027416,10,1.337
UNCHS027415,10,1.338
JAX00014472,10,1.361
ICR242,10,1.39
JAX00194471,10,1.416
UNCHS027414,10,1.438
UNCHS027413,10,1.439
ICR239,10,1.455
JAX00281580,10,1.464
JAX00281578,10,1.47
ICR4238,10,1.474
UNCHS027410,10,1.505
UNCHS027409,10,1.507
JAX00014424,10,1.523
ICR237,10,1.529
JAX00014407,10,1.575
ICR4233,10,1.617
JAX00281429,10,1.658
UNC17323847,10,1.674
JAX00281408,10,1.68
JAX00281404,10,1.688
ICR229,10,1.706
JAX00281381,10,1.723
JAX00014364,10,1.723
JAX00014361,10,1.735
JAX00281361,10,1.744
JAX00281354,10,1.755
ICR227,10,1.766
UNCHS027408,10,1.781
UNCHS027407,10,1.781
ICR4225,10,1.787
ICR224,10,1.8
JAX00014342,10,1.801
JAX00281302,10,1.805
UNCHS027405,10,1.813
JAX00281276,10,1.822
UNCHS027404,10,1.823
UNCHS027403,10,1.823
ICR4222,10,1.831
ICR222,10,1.833
JAX00281264,10,1.837
ICR221,10,1.856
UNCHS027402,10,1.874
UNCHS027401,10,1.876
UNCHS027399,10,1.903
UNCHS027453,10,2.18
UNCHS027454,10,2.182
UNCHS027456,10,2.185
UNCHS027458,10,2.215
JAX00187265,10,2.301
UNCHS027460,10,2.389
JAX00282074,10,2.403
JAX00282082,10,2.415
JAX00187267,10,2.424
UNCHS027462,10,2.441
UNCHS027463,10,2.55
UNCHS027464,10,2.555
UNCHS027465,10,2.575
UNCHS027466,10,2.576
UNCHS027467,10,2.581
UNCHS027468,10,2.581
CEAJAX00014673,10,2.598
UNC17376161,10,2.599
UNC17377242,10,2.61
JAX00282155,10,2.615
UNCHS027469,10,2.615
UNC17378460,10,2.628
JAX00282179,10,2.632
UNC17379782,10,2.644
JAX00282203,10,2.658
UNC17381028,10,2.667
UNC17382044,10,2.688
UNC17383433,10,2.712
JAX00282250,10,2.724
UNC17384739,10,2.739
JAX00282259,10,2.749
JAX00282293,10,2.785
UNCHS027471,10,2.788
UNCHS027472,10,2.79
UNC17387979,10,2.798
UNCHS027473,10,2.825
UNCHS027474,10,2.826
UNCHS027476,10,2.843
UNC17390191,10,2.893
JAX00282342,10,2.909
JAX00282342q,10,2.909
JAX00282343,10,2.909
UNCHS027477,10,2.955
UNCHS027478,10,2.959
UNC17392185,10,2.973
UNCHS027479,10,2.986
UNCHS027480,10,2.988
JAX00282391,10,3.034
UNCHS027481,10,3.047
UNC17395140,10,3.051
JAX00282428,10,3.077
UNC17397568,10,3.094
UNC17398395,10,3.111
UNC17398899,10,3.123
UNCHS027484,10,3.151
UNCHS027485,10,3.151
UNCHS027486,10,3.152
UNC17400795,10,3.154
UNCHS027487,10,3.163
JAX00014792,10,3.172
JAX00282494,10,3.178
UNC17403164,10,3.201
UNC17404314,10,3.23
