# Genetic map for GigaMUGA chromosome 8
# nrow 5689
# ncol 3
marker,chr,pos
UNCHS022037,8,1.614
UNCHS022038,8,1.616
JAX00659253,8,1.661
JAX00659258,8,1.664
UNCHS022039,8,1.671
UNCHS022040,8,1.672
JAX00659261,8,1.674
UNCHS022042,8,1.694
JAX00659273,8,1.712
UNCHS022043,8,1.717
JAX00659283,8,1.731
UNCHS022045,8,1.744
UNCHS022047,8,1.757
UNCHS022048,8,1.761
UNCHS022049,8,1.764
UNCHS022051,8,1.764
UNCHS022050,8,1.765
UNCHS022052,8,1.766
UNC14053566,8,1.773
JAX00659298,8,1.774
UNCHS022053,8,1.796
UNCHS022054,8,1.8
JAX00158262,8,1.811
JAX00659320,8,1.845
UNCHS022057,8,1.85
JAX00659334,8,1.889
JAX00659340,8,1.906
JAX00659346,8,1.919
UNCHS022059,8,1.923
UNCHS022060,8,1.924
JAX00158290,8,1.938
JAX00659365,8,1.94
UNCHS022061,8,1.951
JAX00659380,8,1.952
UNCHS022064,8,1.971
UNCHS022065,8,1.981
JAX00659404,8,1.982
UNCHS022066,8,1.982
JAX00659406,8,1.983
JAX00659408,8,1.983
UNCHS022067,8,1.999
UNCHS022068,8,2
UNCHS022069,8,2
UNCHS022070,8,2.001
UNCHS022071,8,2.001
JAX00158323,8,2.001
UNCHS022072,8,2.001
UNCHS022073,8,2.002
UNCHS022074,8,2.002
UNCHS022075,8,2.005
UNCHS022076,8,2.005
JAX00659448,8,2.017
UNCHS022077,8,2.028
UNCHS022078,8,2.029
UNCHS022079,8,2.033
UNCHS022080,8,2.034
JAX00158352,8,2.067
JAX00659477,8,2.071
JAX00659485,8,2.085
JAX00659500,8,2.109
JAX00659510,8,2.127
JAX00659513,8,2.131
UNCHS022083,8,2.144
UNCHS022084,8,2.145
UNCHS022085,8,2.151
JAX00158390,8,2.155
UNCHS022087,8,2.163
JAX00659532,8,2.163
UNCHS022090,8,2.174
CEAJAX00158407,8,2.194
UNC14075558,8,2.208
UNCHS022091,8,2.23
UNCHS022092,8,2.23
UNC14078146,8,2.24
JAX00659595,8,2.242
CEAJAX00659602,8,2.247
CEAJAX00158434,8,2.253
JAX00659615,8,2.264
UNCHS022093,8,2.281
JAX00659628,8,2.284
UNCHS022096,8,2.286
UNCHS022098,8,2.314
JAX00659661,8,2.321
UNC14086553,8,2.326
JAX00659667,8,2.332
JAX00659684,8,2.347
JAX00233749,8,2.396
JAX00659742,8,2.405
JAX00659753,8,2.422
JAX00158502,8,2.436
JAX00158502q,8,2.436
JAX00659791,8,2.473
JAX00659816,8,2.497
UNC14096429,8,2.498
UNCHS022099,8,2.52
UNCHS022100,8,2.521
JAX00659867,8,2.601
JAX00659878,8,2.614
UNCHS022101,8,2.636
UNCHS022102,8,2.636
JAX00659897,8,2.64
JAX00659906,8,2.652
UNCHS022104,8,2.652
UNCHS022106,8,2.672
JAX00158562,8,2.71
UNCHS022107,8,2.746
JAX00158580,8,2.784
JAX00660041,8,2.822
JAX00660045,8,2.823
JAX00660053,8,2.833
UNCHS022109,8,2.858
UNCHS022110,8,2.859
UNCHS022111,8,2.908
UNCHS022112,8,2.909
UNC14112699,8,2.923
UNC14112858,8,2.947
UNCHS022113,8,2.963
UNCHS022114,8,2.966
UNC14114422,8,3.057
UNC14115350,8,3.137
UNC14115862,8,3.17
JAX00660200,8,3.203
UNC14116597,8,3.214
UNC14117223,8,3.267
UNCHS022116,8,3.277
UNC14117586,8,3.294
UNC14118059,8,3.33
UNC14118615,8,3.373
UNC14119282,8,3.438
UNCHS022117,8,3.493
UNCHS022118,8,3.497
UNCHS022119,8,3.507
UNCHS022120,8,3.51
UNC14120047,8,3.525
UNC14120449,8,3.559
UNC14121223,8,3.612
UNCHS022123,8,3.626
UNCHS022124,8,3.63
UNC14122354,8,3.693
UNC14122889,8,3.735
UNC14123302,8,3.769
JAX00660309,8,3.792
UNC14123726,8,3.797
UNC14123927,8,3.81
UNCHS022125,8,3.81
UNCHS022126,8,3.811
UNCHS022128,8,3.825
UNCHS022129,8,3.836
UNCHS022130,8,3.837
UNC14124729,8,3.845
UNC14125140,8,3.861
UNC14125682,8,3.881
UNC14126015,8,3.892
UNC14126852,8,3.922
JAX00233793,8,3.93
UNC14127728,8,3.952
UNC14128104,8,3.964
UNC14128639,8,3.987
UNCHS022131,8,3.988
UNCHS022132,8,3.989
UNC14129161,8,4.007
JAX00660377,8,4.019
UNC14129614,8,4.023
UNCHS022135,8,4.034
UNCHS022136,8,4.036
UNC14130143,8,4.047
UNC14130658,8,4.069
JAX00660402,8,4.074
UNCHS022137,8,4.076
UNCHS022138,8,4.077
UNC14132107,8,4.115
JAX00158715,8,4.133
JAX00158715r,8,4.133
UNC14132372,8,4.133
UNC14133109,8,4.169
UNC14133883,8,4.195
UNC14134546,8,4.217
UNC14135137,8,4.237
UNCHS022143,8,4.24
UNCHS022144,8,4.243
UNC14135598,8,4.254
JAX00660470,8,4.257
UNC14136072,8,4.276
UNCHS022145,8,4.295
JAX00660493,8,4.307
UNCHS022147,8,4.311
UNCHS022148,8,4.314
UNC14137386,8,4.322
UNCHS022149,8,4.328
UNCHS022151,8,4.348
UNCHS022152,8,4.35
UNC14138747,8,4.363
JAX00158746,8,4.383
UNC14139293,8,4.383
UNC14139601,8,4.4
JAX00158749,8,4.403
JAX00660526,8,4.41
UNC14140331,8,4.427
UNC14140895,8,4.448
UNCHS022153,8,4.467
UNCHS022154,8,4.468
UNC14141574,8,4.469
UNC14142175,8,4.488
UNCHS022155,8,4.488
UNCHS022156,8,4.489
UNCHS022157,8,4.49
JAX00158761,8,4.493
JAX00660561,8,4.504
UNC14142995,8,4.512
UNCHS022159,8,4.513
UNCHS022160,8,4.515
UNC14143760,8,4.535
UNCHS022161,8,4.536
UNCHS022162,8,4.538
UNCHS022163,8,4.555
UNC14144507,8,4.557
UNC14145138,8,4.574
UNCHS022165,8,4.589
JAX00158775,8,4.591
UNCHS022166,8,4.592
UNC14145606,8,4.596
UNC14146419,8,4.619
UNC14147606,8,4.658
JAX00158787,8,4.672
UNC14148237,8,4.68
JAX00233821,8,4.688
UNC14148867,8,4.701
UNC14149228,8,4.714
UNCHS022168,8,4.73
UNC14150102,8,4.742
UNC14150555,8,4.762
UNCHS022169,8,4.764
UNCHS022170,8,4.765
UNC14151093,8,4.784
