# Genetic map for GigaMUGA chromosome 2
# nrow 8681
# ncol 3
marker,chr,pos
UNCHS003833,2,1.773
UNCHS003834,2,1.775
UNC2466989,2,1.776
JAX00090637,2,1.777
JAX00482049,2,1.809
UNCHS003835,2,1.884
UNCHS003836,2,1.886
JAX00482064,2,1.892
CEAJAX00090652,2,1.912
JAX00090652,2,1.912
JAX00090654,2,1.929
UNCHS003837,2,1.937
UNCHS003838,2,1.941
JAX00482087,2,1.952
UNCHS003840,2,1.982
UNCHS003841,2,2.017
UNC2471300,2,2.041
UNC2471438,2,2.053
UNCHS003843,2,2.085
UNCHS003844,2,2.086
UNC2472526,2,2.097
JAX00482120,2,2.107
UNC2472909,2,2.118
UNCHS003845,2,2.135
UNCHS003846,2,2.137
UNC2473318,2,2.141
UNC2473662,2,2.161
UNC2474017,2,2.178
UNCHS003847,2,2.206
UNCHS003848,2,2.207
UNC2474590,2,2.218
UNCHS003849,2,2.247
JAX00482154,2,2.247
JAX00482155,2,2.247
UNCHS003850,2,2.248
UNC2475469,2,2.255
JAX00482161,2,2.263
UNC2475948,2,2.277
UNC2476359,2,2.297
UNC2476771,2,2.319
UNC2477266,2,2.337
UNC2477500,2,2.346
UNCHS003851,2,2.372
UNCHS003852,2,2.375
UNC2478309,2,2.376
UNCHS003854,2,2.377
JAX00482215,2,2.402
UNCHS003855,2,2.404
UNCHS003856,2,2.406
UNC2479300,2,2.413
UNC2479702,2,2.425
UNCHS003857,2,2.44
UNCHS003858,2,2.442
UNC2480370,2,2.452
JAX00090716,2,2.46
UNCHS003860,2,2.461
UNCHS003861,2,2.48
UNCHS003862,2,2.486
UNC2481020,2,2.488
UNC2481206,2,2.503
UNC2481772,2,2.533
UNCHS003863,2,2.537
UNCHS003864,2,2.543
UNC2482282,2,2.561
UNCHS003865,2,2.561
UNCHS003866,2,2.565
UNCHS003868,2,2.578
UNCHS003869,2,2.578
UNCHS003870,2,2.581
UNC2482652,2,2.591
JAX00482272,2,2.627
UNC2483107,2,2.627
UNC2483338,2,2.64
UNC2484092,2,2.68
JAX00482283,2,2.691
UNC2484500,2,2.702
UNCHS003871,2,2.713
UNC2484812,2,2.725
UNC2485247,2,2.758
JAX00482294,2,2.768
UNC2485591,2,2.781
UNC2485966,2,2.81
JAX00482308,2,2.843
UNC2486827,2,2.862
JAX00215420,2,2.881
UNC2487777,2,2.918
UNC2488313,2,2.951
UNC2488740,2,2.976
UNC2489320,2,3.007
UNCHS003873,2,3.044
UNCHS003874,2,3.047
UNC2489846,2,3.058
JAX00482334,2,3.065
UNC2490684,2,3.115
UNC2491037,2,3.137
UNC2491480,2,3.167
JAX00482360,2,3.178
JAX00090777,2,3.182
UNC2491880,2,3.193
UNCHS003875,2,3.215
UNCHS003876,2,3.217
UNC2492492,2,3.225
UNC2492946,2,3.248
JAX00482378,2,3.261
UNC2493329,2,3.267
UNC2494094,2,3.309
UNCHS003877,2,3.319
UNC2494736,2,3.34
UNC2495151,2,3.363
JAX00090794,2,3.383
UNC2495569,2,3.392
UNCHS003880,2,3.41
UNC2495921,2,3.414
JAX00482418,2,3.426
JAX00482419,2,3.426
UNC2496693,2,3.454
UNC2497423,2,3.48
UNCHS003881,2,3.492
UNCHS003882,2,3.494
UNCHS003883,2,3.498
JAX00482435,2,3.502
UNC2498431,2,3.506
UNCHS003887,2,3.506
UNCHS003888,2,3.507
UNC2498976,2,3.513
UNC2499421,2,3.521
UNC2500051,2,3.532
UNCHS003889,2,3.536
UNCHS003890,2,3.536
UNC2500441,2,3.538
UNC2500781,2,3.543
UNCHS003892,2,3.546
UNC2501218,2,3.551
UNCHS003893,2,3.553
UNCHS003894,2,3.556
UNC2501565,2,3.557
UNCHS003895,2,3.558
UNC2501954,2,3.564
JAX00482490,2,3.566
UNCHS003897,2,3.57
JAX00482493,2,3.57
JAX00482498,2,3.574
UNC2502735,2,3.579
UNCHS003899,2,3.582
JAX00090834,2,3.586
UNC2503705,2,3.6
JAX00482512,2,3.601
UNCHS003901,2,3.601
UNCHS003902,2,3.603
UNC2504191,2,3.609
UNC2504669,2,3.616
UNCHS003903,2,3.619
UNC2504884,2,3.62
UNCHS003904,2,3.62
UNC2505315,2,3.628
JAX00482529,2,3.632
UNC2505670,2,3.637
JAX00090851,2,3.638
UNC2505851,2,3.641
UNC2506365,2,3.651
UNC2506901,2,3.658
UNCHS003905,2,3.661
UNC2507892,2,3.67
JAX00482548,2,3.671
JAX00482553,2,3.676
UNC2508416,2,3.678
UNC2508790,2,3.683
JAX00215454,2,3.686
UNC2509229,2,3.689
UNCHS003907,2,3.689
JAX00482560,2,3.689
UNCHS003908,2,3.69
UNC2509730,2,3.695
UNCHS003910,2,3.696
UNCHS003911,2,3.702
JAX00090873,2,3.702
UNC2510239,2,3.704
UNC2510582,2,3.709
UNCHS003913,2,3.713
UNCHS003914,2,3.716
UNCHS003915,2,3.716
UNCHS003916,2,3.717
backupJAX00482585,2,3.722
UNC2512096,2,3.731
JAX00482589,2,3.733
UNC2512954,2,3.745
JAX00482601,2,3.752
UNC2513327,2,3.753
UNCHS003917,2,3.758
UNCHS003918,2,3.759
UNC2513566,2,3.759
UNCHS003919,2,3.76
UNCHS003920,2,3.761
UNCHS003921,2,3.762
UNC2513769,2,3.763
UNCHS003923,2,3.764
UNCHS003924,2,3.764
UNC2514134,2,3.769
UNCHS003925,2,3.777
UNCHS003926,2,3.777
UNC2514798,2,3.779
UNCHS003927,2,3.787
UNCHS003928,2,3.788
UNC2515191,2,3.788
backupUNC020820163,2,3.791
UNC2515959,2,3.799
UNCHS003931,2,3.801
UNCHS003932,2,3.801
UNCHS003933,2,3.815
UNCHS003934,2,3.815
UNC2516793,2,3.82
JAX00482647,2,3.839
JAX00482656,2,3.85
UNC2519048,2,3.856
JAX00482670,2,3.866
JAX00482676,2,3.868
UNCHS003935,2,3.872
UNCHS003937,2,3.877
UNCHS003938,2,3.878
UNC2521801,2,3.896
UNC2522862,2,3.917
JAX00482726,2,4.128
JAX00482728,2,4.132
UNCHS003940,2,4.133
JAX00090964,2,4.181
UNCHS003941,2,4.189
UNCHS003943,2,4.189
UNCHS003945,2,4.192
UNCHS003944,2,4.196
UNC2525438,2,4.198
JAX00482750,2,4.274
JAX00482751,2,4.286
UNCHS003947,2,4.314
UNCHS003948,2,4.323
UNCHS003949,2,4.393
UNCHS003950,2,4.397
UNCHS003951,2,4.435
UNCHS003952,2,4.44
JAX00090983,2,4.657
JAX00482780,2,4.769
UNCHS003954,2,4.84
UNCHS003955,2,4.841
ICR4991,2,4.842
UNCHS003956,2,4.846
JAX00482795,2,4.907
UNCHS003957,2,4.958
UNCHS003958,2,4.962
ICR993,2,4.986
UNCHS003959,2,5.129
UNCHS003961,2,5.228
UNCHS003962,2,5.232
UNC2533908,2,5.346
JAX00091020,2,5.381
UNC2535070,2,5.509
JAX00482855,2,5.751
UNCHS003964,2,5.764
JAX00482858,2,5.804
UNCHS003965,2,5.832
UNCHS003967,2,5.838
UNCHS003968,2,5.841
UNC2538571,2,5.841
UNC2538884,2,5.857
UNCHS003969,2,5.865
UNC2539258,2,5.875
JAX00482873,2,5.877
JAX00091053,2,5.882
UNC2539510,2,5.893
JAX00215521,2,5.893
UNC2540251,2,5.919
UNC2540465,2,5.93
UNC2540847,2,5.948
JAX00091063,2,5.956
UNC2541204,2,5.961
UNCHS003971,2,5.979
UNCHS003972,2,5.982
UNC2541673,2,5.983
UNC2541928,2,5.995
UNCHS003974,2,6.004
UNC2542367,2,6.019
UNC2542718,2,6.039
JAX00091076,2,6.047
UNC2543012,2,6.052
UNCHS003975,2,6.053
UNCHS003976,2,6.055
UNC2543532,2,6.073
JAX00091084,2,6.103
UNC2543884,2,6.106
UNC2544208,2,6.127
UNC2544580,2,6.161
UNC2545642,2,6.22
UNCHS003977,2,6.254
UNC2546273,2,6.257
UNCHS003978,2,6.257
UNC2547203,2,6.307
sanger2136,2,6.316
sanger2136q,2,6.316
UNC2547700,2,6.336
JAX00482997,2,6.348
UNC2547968,2,6.355
JAX00091105,2,6.361
JAX00483003,2,6.384
UNC2548697,2,6.396
UNC2549110,2,6.421
JAX00091113,2,6.444
UNC2549643,2,6.449
UNCHS003979,2,6.484
JAX00483029,2,6.484
UNCHS003980,2,6.486
UNC2550331,2,6.488
UNC2550506,2,6.498
UNCHS003981,2,6.501
UNCHS003982,2,6.504
UNC2551069,2,6.538
UNC2551571,2,6.567
JAX00091125,2,6.583
UNC2552144,2,6.598
UNC2552718,2,6.626
JAX00091129,2,6.627
UNC2553197,2,6.656
UNCHS003983,2,6.672
JAX00483070,2,6.676
UNC2553771,2,6.691
UNC2553991,2,6.715
UNC2554371,2,6.744
UNC2554709,2,6.774
UNC2555023,2,6.803
JAX00483104,2,6.839
JAX00483115,2,6.865
UNC2556003,2,6.872
UNCHS003985,2,6.874
UNCHS003986,2,6.879
UNCHS003987,2,6.899
UNCHS003988,2,6.904
UNC2556949,2,6.917
JAX00091156,2,6.931
UNC2557713,2,6.949
UNC2558229,2,6.976
JAX00483146,2,6.99
UNC2558999,2,7.013
UNCHS003989,2,7.05
UNCHS003990,2,7.057
UNC2559552,2,7.078
JAX00483162,2,7.141
