# Genetic map for GigaMUGA chromosome 14
# nrow 5043
# ncol 3
marker,chr,pos
JAX00049790,14,4.48
JAX00372117,14,4.488
JAX00049793,14,4.494
JAX00049793r,14,4.494
JAX00204233,14,4.555
UNCHS037293,14,4.556
UNCHS037295,14,4.56
UNCHS037296,14,4.562
JAX00049803,14,4.586
JAX00372138,14,4.587
ICR552,14,4.591
ICR4552,14,4.603
JAX00372147,14,4.619
JAX00372147r,14,4.619
UNCHS037297,14,4.639
UNCHS037298,14,4.64
JAX00049810,14,4.642
JAX00049811,14,4.644
JAX00372157,14,4.646
ICR4553,14,4.657
UNCHS037299,14,4.677
UNCHS037300,14,4.679
UNCHS037302,14,4.682
UNCHS037303,14,4.683
UNCHS037304,14,4.684
ICR554,14,4.689
ICR4554,14,4.69
JAX00372194,14,4.729
ICR4555,14,4.732
UNCHS037305,14,4.737
JAX00049828,14,4.743
UNCHS037307,14,4.744
UNCHS037308,14,4.745
JAX00049833,14,4.765
UNCHS037310,14,4.785
UNCHS037311,14,4.806
JAX00372251,14,4.806
JAX00372254,14,4.807
UNCHS037312,14,4.808
UNCHS037313,14,4.81
UNCHS037314,14,4.812
UNCHS037315,14,4.821
UNCHS037316,14,4.822
UNCHS037317,14,4.829
UNCHS037318,14,4.83
JAX00372269,14,4.843
JAX00372275,14,4.853
UNCHS037319,14,4.875
UNCHS037321,14,4.9
UNCHS037322,14,4.901
ICR4561,14,4.914
JAX00372314,14,4.919
JAX00049868,14,4.93
JAX00372320,14,4.931
JAX00372322,14,4.941
JAX00049884,14,5.087
UNCHS037323,14,5.177
UNCHS037324,14,5.182
JAX00372382,14,5.284
backupUNC140686121,14,5.3
UNCHS037325,14,5.314
UNCHS037326,14,5.317
JAX00372389,14,5.33
UNCHS037327,14,5.34
UNCHS037328,14,5.342
JAX00372414,14,5.433
UNCHS037329,14,5.437
UNCHS037330,14,5.44
JAX00372423,14,5.482
UNCHS037332,14,5.507
JAX00372441,14,5.517
JAX00372450,14,5.539
JAX00372464,14,5.551
JAX00049927,14,5.574
UNCHS037333,14,5.593
UNCHS037334,14,5.596
JAX00372508,14,5.625
JAX00049935,14,5.652
JAX00372538,14,5.683
JAX00372574,14,5.752
UNCHS037335,14,5.772
UNCHS037336,14,5.774
UNCHS037337,14,5.777
sanger1280,14,5.804
sanger1280q,14,5.804
JAX00372610,14,5.811
ICR563,14,5.812
UNCHS037339,14,5.813
UNCHS037340,14,5.814
JAX00372622,14,5.822
UNCHS037341,14,5.827
UNCHS037342,14,5.828
JAX00372649,14,5.838
UNCHS037343,14,5.897
UNCHS037344,14,5.898
JAX00372675,14,5.905
UNCHS037345,14,5.906
UNCHS037346,14,5.906
ICR566,14,5.91
ICR4566,14,5.912
ICR567,14,5.939
JAX00372703,14,5.941
UNCHS037348,14,5.995
JAX00372726,14,5.999
JAX00372730,14,6.001
ICR569,14,6.005
JAX00050004,14,6.021
UNCHS037349,14,6.036
UNCHS037350,14,6.039
ICR570,14,6.041
ICR4570,14,6.044
UNCHS037351,14,6.049
UNCHS037353,14,6.055
UNCHS037354,14,6.056
JAX00372768,14,6.062
ICR571,14,6.064
ICR4571,14,6.064
JAX00050015,14,6.079
JAX00372781,14,6.093
UNCHS037355,14,6.105
UNCHS037356,14,6.106
ICR572,14,6.125
JAX00050026,14,6.127
JAX00372820,14,6.155
JAX00372826,14,6.168
JAX00372834,14,6.177
JAX00372834q,14,6.177
ICR574,14,6.186
ICR4574,14,6.189
JAX00372848,14,6.208
JAX00050046,14,6.21
UNCHS037357,14,6.228
UNCHS037358,14,6.229
UNCHS037359,14,6.249
ICR576,14,6.25
JAX00372887,14,6.251
ICR578,14,6.308
JAX00372920,14,6.314
UNCHS037362,14,6.326
ICR579,14,6.328
ICR4579,14,6.328
JAX00372942,14,6.33
UNCHS037363,14,6.331
UNCHS037364,14,6.331
JAX00372957,14,6.337
UNCHS037365,14,6.34
UNCHS037366,14,6.34
ICR581,14,6.344
ICR4581,14,6.345
UNCHS037367,14,6.346
UNCHS037368,14,6.347
UNCHS037369,14,6.348
JAX00372984,14,6.349
JAX00372988,14,6.352
ICR582,14,6.361
ICR4582,14,6.362
JAX00373007,14,6.364
ICR583,14,6.369
JAX00373032,14,6.375
JAX00373033,14,6.375
UNCHS037371,14,6.375
UNCHS037372,14,6.376
ICR584,14,6.377
UNCHS037374,14,6.377
ICR4584,14,6.378
JAX00373053,14,6.38
JAX00373062,14,6.383
ICR586,14,6.393
ICR4586,14,6.394
UNCHS037375,14,6.398
UNCHS037376,14,6.398
UNCHS037377,14,6.399
UNCHS037378,14,6.399
UNCHS037379,14,6.4
UNCHS037380,14,6.4
ICR587,14,6.401
ICR4587,14,6.401
UNCHS037381,14,6.402
UNCHS037382,14,6.402
JAX00050138,14,6.404
JAX00373109,14,6.404
UNCHS037383,14,6.408
UNCHS037384,14,6.409
ICR588,14,6.409
ICR4588,14,6.41
JAX00373129,14,6.414
JAX00050146,14,6.414
UNCHS037386,14,6.415
UNCHS037388,14,6.417
JAX00373156,14,6.424
JAX00373163,14,6.427
UNCHS037390,14,6.458
UNCHS037391,14,6.556
UNCHS037392,14,6.567
JAX00373204,14,6.664
UNCHS037394,14,6.686
JAX00050178,14,6.704
JAX00050184,14,6.733
ICR593,14,6.74
ICR4593,14,6.74
JAX00373245,14,6.756
JAX00050188,14,6.775
UNCHS037395,14,6.798
UNCHS037396,14,6.799
ICR595,14,6.825
ICR4595,14,6.825
JAX00373295,14,6.869
ICR597,14,6.87
ICR4597,14,6.87
JAX00373312,14,6.876
ICR598,14,6.877
ICR4598,14,6.877
JAX00373329,14,6.883
ICR599,14,6.883
ICR4599,14,6.883
JAX00373344,14,6.887
UNCHS037398,14,6.888
JAX00373354,14,6.888
ICR600,14,6.89
UNCHS037399,14,6.892
UNCHS037400,14,6.892
UNCHS037401,14,6.895
UNCHS037402,14,6.895
ICR601,14,6.896
ICR4601,14,6.896
JAX00050246,14,6.904
JAX00050248,14,6.906
ICR605,14,6.909
JAX00373417,14,6.912
UNCHS037408,14,6.915
ICR606,14,6.916
ICR4606,14,6.916
UNCHS037409,14,6.918
UNCHS037410,14,6.919
ICR607,14,6.922
UNCHS037412,14,6.925
JAX00373449,14,6.926
JAX00050270,14,6.926
ICR609,14,6.935
JAX00373473,14,6.942
ICR4611,14,6.947
UNCHS037413,14,6.95
UNCHS037414,14,6.95
UNCHS037416,14,6.952
JAX00050297,14,6.955
JAX00373490,14,6.955
JAX00050298,14,6.955
JAX00050306,14,6.962
JAX00050309,14,6.965
UNCHS037417,14,6.969
UNCHS037418,14,6.969
UNCHS037419,14,6.969
