# Genetic map for GigaMUGA chromosome 7
# nrow 6302
# ncol 3
marker,chr,pos
JAX00148221,7,1.905
JAX00631073,7,1.906
JAX00148222,7,1.908
UNCHS019420,7,1.922
UNC12367710,7,1.961
UNCHS019421,7,1.966
UNCHS019422,7,1.968
ICR1780,7,2.009
ICR5780,7,2.01
UNCHS019425,7,2.019
UNCHS019426,7,2.022
UNCHS019428,7,2.06
UNC12370256,7,2.081
UNC12371610,7,2.136
JAX00631082,7,2.187
UNC12372829,7,2.221
UNC12373496,7,2.261
JAX00631114,7,2.398
UNC12373855,7,2.398
JAX00631117,7,2.412
JAX00148247,7,2.441
JAX00148249,7,2.469
UNCHS019429,7,2.512
UNCHS019430,7,2.52
UNC12375684,7,2.521
JAX00148260,7,2.565
UNC12376566,7,2.581
JAX00190001,7,2.648
JAX00631167,7,2.659
UNCHS019432,7,2.667
JAX00631171,7,2.681
JAX00631177,7,2.705
UNC12380039,7,2.8
UNCHS019433,7,2.837
UNCHS019434,7,2.84
UNC12380978,7,2.853
UNC12381586,7,2.884
JAX00631225,7,2.886
UNCHS019435,7,2.904
UNCHS019436,7,2.908
UNC12382380,7,2.932
JAX00631240,7,2.937
UNCHS019437,7,2.95
UNCHS019438,7,2.951
UNC12384210,7,3.014
UNC12385212,7,3.066
UNCHS019439,7,3.098
JAX00631330,7,3.11
JAX00231299,7,3.117
UNC12387094,7,3.217
JAX00631348,7,3.248
UNC12388018,7,3.267
JAX00631360,7,3.294
UNCHS019444,7,3.679
UNC12393002,7,3.768
JAX00631423,7,3.778
JAX00631423r,7,3.778
UNC12393524,7,3.793
JAX00631431,7,3.822
UNC12395307,7,3.858
UNC12396268,7,3.893
UNC12397154,7,3.923
JAX00231327,7,3.931
UNC12398366,7,3.972
JAX00631493,7,3.995
JAX00631494,7,3.997
UNC12400258,7,4.064
UNCHS019447,7,4.071
UNCHS019448,7,4.073
UNC12400809,7,4.104
UNC12400911,7,4.11
UNC12400995,7,4.114
UNC12401028,7,4.118
UNC12401136,7,4.127
UNC12401207,7,4.131
UNC12401245,7,4.133
UNC12401354,7,4.14
UNC12401384,7,4.142
UNC12401460,7,4.147
UNC12401560,7,4.155
UNC12401735,7,4.166
UNC12401831,7,4.172
UNC12401981,7,4.179
UNC12402068,7,4.183
JAX00631550,7,4.186
UNC12402112,7,4.187
UNC12402170,7,4.19
JAX00148458,7,4.2
UNC12402262,7,4.202
UNCHS019449,7,4.215
UNCHS019450,7,4.222
UNC12404061,7,4.316
JAX00631582,7,4.332
JAX00631585,7,4.342
ICR1784,7,6.099
UNC12405664,7,6.168
ICR1786,7,6.196
JAX00631684,7,6.245
ICR1788,7,6.3
UNCHS019451,7,6.309
UNCHS019452,7,6.311
UNC12407732,7,6.35
ICR5789,7,6.354
JAX00631718,7,6.396
JAX00631719,7,6.401
JAX00148593,7,6.402
JAX00631730,7,6.413
JAX00148599,7,6.454
ICR1791,7,6.461
ICR5791,7,6.461
UNCHS019453,7,6.488
JAX00631757,7,6.529
UNC12410649,7,6.534
JAX00631769,7,6.625
UNC12412010,7,6.813
JAX00148668,7,7.092
UNCHS019455,7,7.095
UNCHS019456,7,7.098
UNC12413647,7,7.135
